Total infected,Super spreaders,Normal spreaders,Time,Event
38,18,20,0.019549793514567232,0
47,27,20,0.054699089491106564,3
73,27,46,0.07852112401470154,6
84,27,57,0.08800436660182485,11
87,27,60,0.095647285072482,13
101,27,74,0.09587948588527463,14
106,32,74,0.09663196482561025,15
116,42,74,0.09727989310707885,16
130,42,88,0.10496798473847971,17
139,42,97,0.12140995466595235,21
140,43,97,0.12607350875106074,22
140,43,97,0.13533917088348654,25
141,43,98,0.13674479771490075,26
143,45,98,0.14321930425534654,28
149,44,105,0.15421425065143352,31
149,44,105,0.1604101893482756,33
159,44,115,0.16894461451910894,35
160,44,116,0.17109954803728883,36
185,44,141,0.17187562705995216,37
186,44,142,0.1731002650000383,38
193,44,149,0.1735557835816611,39
194,45,149,0.17694788959029872,40
195,46,149,0.18264662462873535,41
198,46,152,0.18774460795539066,42
199,46,153,0.19651950282337308,43
212,46,166,0.20308872313587623,45
212,46,166,0.20771411215284827,46
215,46,169,0.20937185240718434,47
225,46,179,0.22052672437762744,49
235,46,189,0.22147472012395725,50
240,51,189,0.22362812121887518,51
253,51,202,0.22997967801529012,52
259,51,208,0.2351449643222762,53
259,51,208,0.23579042362970948,54
259,51,208,0.23673314476576335,55
259,51,208,0.23690470774145703,56
259,51,208,0.24327198219895646,58
259,51,208,0.24513492828988856,59
262,54,208,0.2532885304868379,60
263,54,209,0.25573246289870055,62
263,54,209,0.2597292007188505,63
268,54,214,0.2627223110640133,64
271,54,217,0.2662310170956837,66
279,54,225,0.266346643234486,67
279,54,225,0.2692288076161632,68
288,54,234,0.27184765427614394,69
288,54,234,0.2741889249100322,71
288,54,234,0.27968353238730115,72
288,54,234,0.283240252686525,74
294,54,240,0.2848190197834528,75
296,54,242,0.2882619431026483,76
296,54,242,0.2885330812979909,77
299,54,245,0.2915390867529692,78
300,55,245,0.29257333491331744,79
300,55,245,0.29449834414075216,80
300,55,245,0.296451564504109,81
308,55,253,0.2969209267511786,82
308,55,253,0.2977231777487988,83
314,55,259,0.30255506574436203,84
315,56,259,0.30290174957002647,85
315,56,259,0.30335745516276225,86
315,56,259,0.30365583571935023,87
317,56,261,0.305056225563053,88
317,56,261,0.3053075523272948,89
318,58,260,0.30783569903915275,90
318,58,260,0.3090713870408628,91
325,58,267,0.3168498401009969,93
325,58,267,0.31762778289193067,94
325,58,267,0.3195306509946575,95
330,58,272,0.3198373903365788,96
330,58,272,0.3210205806378908,97
335,58,277,0.3258813885930283,98
341,58,283,0.33560934190189906,99
351,58,293,0.33606012942106667,100
