Event,Simulation Time,Event Type,Individual
0,0.019549793514567232,infection,430
1,0.023216681540646232,movement,526
2,0.029988380596835677,movement,508
3,0.054699089491106564,infection,686
4,0.061410461738135705,movement,318
5,0.062007881209137125,movement,734
6,0.07852112401470154,infection,882
7,0.07887044265471534,movement,164
8,0.08106772446816378,movement,336
9,0.08213944545082096,movement,456
10,0.08263254588446799,movement,581
11,0.08800436660182485,infection,134
12,0.09310534829635995,movement,722
13,0.095647285072482,infection,414
14,0.09587948588527463,infection,825
15,0.09663196482561025,infection,69
16,0.09727989310707885,infection,396
17,0.10496798473847971,infection,947
18,0.1099528905873345,movement,863
19,0.11141750605596476,movement,891
20,0.11584003184764469,movement,763
21,0.12140995466595235,infection,432
22,0.12607350875106074,infection,314
23,0.12932089305960826,movement,510
24,0.13372807602606007,movement,208
25,0.13533917088348654,infection,396
26,0.13674479771490075,infection,573
27,0.14271105320402103,movement,739
28,0.14321930425534654,infection,750
29,0.15143075816014967,movement,690
30,0.15363161117071056,movement,296
31,0.15421425065143352,infection,724
32,0.15519928370084882,movement,979
33,0.1604101893482756,infection,430
34,0.16644706377501603,movement,518
35,0.16894461451910894,infection,683
36,0.17109954803728883,infection,703
37,0.17187562705995216,infection,132
38,0.1731002650000383,infection,325
39,0.1735557835816611,infection,774
40,0.17694788959029872,infection,1
41,0.18264662462873535,infection,898
42,0.18774460795539066,infection,293
43,0.19651950282337308,infection,433
44,0.1993891200527909,movement,186
45,0.20308872313587623,infection,621
46,0.20771411215284827,infection,414
47,0.20937185240718434,infection,730
48,0.21076246587009487,movement,981
49,0.22052672437762744,infection,834
50,0.22147472012395725,infection,957
51,0.22362812121887518,infection,73
52,0.22997967801529012,infection,763
53,0.2351449643222762,infection,719
54,0.23579042362970948,infection,905
55,0.23673314476576335,infection,853
56,0.23690470774145703,infection,802
57,0.24155393688890495,movement,516
58,0.24327198219895646,infection,289
59,0.24513492828988856,infection,834
60,0.2532885304868379,infection,403
61,0.25459645826454513,movement,485
62,0.25573246289870055,infection,214
63,0.2597292007188505,infection,825
64,0.2627223110640133,infection,291
65,0.26325294450623815,movement,642
66,0.2662310170956837,infection,579
67,0.266346643234486,infection,133
68,0.2692288076161632,infection,660
69,0.27184765427614394,infection,449
70,0.27199579622357,movement,292
71,0.2741889249100322,infection,554
72,0.27968353238730115,infection,882
73,0.2808349376510056,movement,241
74,0.283240252686525,infection,821
75,0.2848190197834528,infection,795
76,0.2882619431026483,infection,316
77,0.2885330812979909,infection,274
78,0.2915390867529692,infection,480
79,0.29257333491331744,infection,442
80,0.29449834414075216,infection,164
81,0.296451564504109,infection,245
82,0.2969209267511786,infection,221
83,0.2977231777487988,infection,852
84,0.30255506574436203,infection,347
85,0.30290174957002647,infection,109
86,0.30335745516276225,infection,852
87,0.30365583571935023,infection,579
88,0.305056225563053,infection,555
89,0.3053075523272948,infection,21
90,0.30783569903915275,infection,753
91,0.3090713870408628,infection,825
92,0.3132938993284384,movement,557
93,0.3168498401009969,infection,593
94,0.31762778289193067,infection,203
95,0.3195306509946575,infection,839
96,0.3198373903365788,infection,184
97,0.3210205806378908,infection,70
98,0.3258813885930283,infection,915
99,0.33560934190189906,infection,704
100,0.33606012942106667,infection,89
